Pct_2,Pct_1,Outcome,Net_immigration,Population,Populationdensity,GDHIPH,GGDHI,Taxes,Benefits,Median_age,0to10,10to20,20to30,30to40,40to50,50to60,60to70,70to80,80to90
70.02,29.98,2,12.1,179654,11228,55552,-1.106649692,19019.89,9317.91,41.8,8.81,20.7,19.89,14.59,10.35,6.92,4.19,2.3,
49.25,50.75,1,1.1,90416,153,18622,0.598444045,2886.66,4424,45.5,12.48,11.24,9.21,10.47,15.52,14.83,12.68,8.45,4.89
75.57,24.43,2,14.9,278451,9282,27179,0.43460546,5595.24,5656.29,34.2,14.14,10.87,16.64,19.38,14.21,10.29,6.43,3.74,1.96
31.9,68.1,1,3.6,85995,2774,22960,2.602811036,4465.38,4779.35,37.4,16.09,11.09,12.9,14.52,13.28,12.68,9.06,5.93,4.24
50.97,49.03,2,4.8,156312,120,21292,1.099554235,3256.31,4420.65,46.7,12.27,11.45,9.17,11.06,14.96,15.35,12.81,9.26,5.84
54.63,45.37,2,7.3,248752,4975,23928,2.568079972,3674.34,4828.1,37.4,14.89,11.24,13.61,15.61,13.26,12.22,9.21,6.02,3.86
52.4,47.6,2,3,94250,438,23528,0.722021661,4530.5,5251.99,43.1,13.93,11.25,9.75,12.33,15.96,13.92,11.08,8.03,4.38
30.43,69.57,1,0.9,92817,987,15071,-1.824561404,2413.35,3867.83,41.8,13.5,11.45,12.89,11.29,13.17,14.25,11.53,7.41,4.49
45.12,54.88,1,2.9,92236,3075,20995,1.140487299,3653.67,4000.61,42.5,13.43,11.23,12.26,11.77,14.11,13.83,12.07,7.38,4.61
37.64,62.36,1,1.8,123640,2248,19645,2.484210526,3332.25,4618.25,45.6,12.24,11.2,11.25,10.17,12.99,14.31,12.69,9.31,6
30.34,69.66,1,2.3,252783,2257,20095,5.22943365,2966.97,4501.89,39.7,14.11,11.17,13.2,13.25,13.15,12.95,10.26,7.08,5.01
40.78,59.22,1,3.8,189309,87,19089,0.920502092,2561.95,3919.52,46.5,11.6,10.19,10.82,10.88,13.16,14.4,13.74,9.62,5.66
49.16,50.84,1,4.6,103528,1025,24318,0.358137684,5235.3,5370.53,40.4,14.93,11.26,11.49,13.17,14.2,13.11,10.16,6.94,4.87
49.45,50.55,1,1.3,91662,170,19188,2.147417295,3534.73,4614.78,45.2,11.69,10.99,11.21,10.62,14.75,15.46,12.89,8.13,4.28
43.63,56.37,1,5.2,302471,2608,23439,3.276520717,3716.06,4787.24,35.3,15.78,11.77,14.97,15.57,13.26,11.36,7.88,5.23,3.29
39.67,60.33,1,1.6,110102,371,18063,0.353892821,2906.4,4423.17,44.8,12.25,10.35,10.75,11.57,14.5,14.12,13.17,8.47,4.58
51.46,48.54,2,1.9,138018,260,22886,0.82697201,4267.56,4905.16,45.8,12.33,11.32,9.34,10.76,14.74,14.88,12.56,8.83,5.57
51.06,48.94,2,8.9,271139,4842,30230,4.537251869,8110.23,6004.3,35.2,15.99,10.49,14.79,18.16,13.74,10.92,7.65,4.6,2.56
45.76,54.24,1,3.6,175666,194,20630,2.453468697,4320.7,5225.83,42.9,13.09,10.7,11.33,12.59,14.72,13.94,11.92,7.79,4.12
33.81,66.19,1,1.3,80537,1103,14818,0.42158516,2036.33,3874,40,14.7,11.75,12.6,12.07,13.69,12.69,10.99,7.4,3.89
41.74,58.26,1,1.7,135908,3398,19347,2.485659656,3244.84,4319.1,37.6,14.89,11.18,15.11,14.59,13.46,12.25,9.86,6.26,4.29
38.05,61.95,1,1.9,139798,368,16781,-0.758853288,1981.43,3404.91,49.1,10.8,10.29,9.66,9.37,12.97,14.51,15.3,10.92,6.48
56.39,43.61,2,1.8,2308,144,18902,-2.222222222,2166.38,3466.2,47.9,10.78,7.66,11.52,12.26,13.3,14.68,14.21,10.48,6.06
75.22,24.78,2,9.4,232865,15524,29371,1.29291128,6072.19,5767.29,32,11.67,9.91,25.43,19.84,12.18,9.32,5.79,3.51,1.96
68.69,31.31,2,16.8,156726,13061,62600,-2.860536474,17814.53,9207.15,38.5,11.98,8.78,14.91,18.67,14.78,12.27,9.41,6,3.19
39.01,60.99,1,8,99002,425,18362,1.451702959,3030.24,4323.14,41.2,14.51,11.03,11.44,12.7,14.84,12.83,11.37,7.16,4.03
33.6,66.4,1,5,151589,105,17859,1.840721262,1998.83,3746.97,46.7,12.32,9.81,10.77,10.48,12.6,13.65,14.01,10.46,6
32.38,67.62,1,4.1,260240,3665,13380,2.685950413,1679.22,3612.05,35.7,14.39,11.38,17.42,13.1,12.66,12.25,9.5,5.79,3.39
61.61,38.39,2,6.9,176107,4760,26947,2.946998021,5831.68,5490.98,36.2,14.41,10.89,15.11,16.17,14.38,10.96,8.25,5.05,3.36
45.33,54.67,1,2,437047,1069,16107,1.608695652,2441.39,3898.89,39.1,14.29,12.23,12.85,12.54,13.87,12.57,10.6,6.87,3.72
48.44,51.56,1,0.6,147915,1700,15317,0.890075656,2203.97,3894.13,40.2,14.1,11.74,13.52,11.48,12.89,14.73,10.7,6.78,4.06
78.62,21.38,2,11.1,327910,12145,24965,0.85031887,4580.53,5434.42,32.6,12.77,8.84,23.07,20.78,12.84,9.91,5.33,3.12,1.82
48.92,51.08,1,1.3,143517,249,16850,1.877133106,2236.67,3776.56,39.7,11.73,13.11,15.09,10.38,12,12.6,11.25,7.92,4.62
50.31,49.69,2,1.7,781743,1416,16814,2.02765693,2686.3,4466.94,35.5,13.9,12.58,17.09,13.3,12.61,11.36,9.18,6.17,3.69
51.08,48.92,2,4.8,348343,4772,12848,3.599446239,1702.35,3272.64,31.9,15.71,13.81,19.3,14.11,11.58,10.58,7.8,4.5,2.9
52.07,47.93,2,2.4,101381,347,21104,0.515463918,3403,3984.97,47.3,11.81,10.76,9.29,10.25,13.71,14.22,13.57,9.8,6.78
69.86,30.14,2,7.6,301867,8625,22139,1.815384615,3985.2,5187.72,34.4,15.38,10.12,16.83,19.47,14.29,10.94,6.03,3.66,2.25
41.19,58.81,1,2.5,103061,311,18181,1.685698749,2775.06,4376.05,45.9,11.59,10.59,10.12,10.85,14.34,14.14,13.12,10.17,4.82
43.06,56.94,1,1.7,97795,2717,18247,0.338791643,2617.72,3834.55,33.9,12.36,14.12,19.07,12.65,11.38,11.27,9.11,5.78,3.78
58.19,41.81,2,2.3,484578,4327,14538,1.213592233,2051.27,3650.6,35,12.42,12.42,19.46,13.79,11.85,12.07,9.28,5.83,3.46
43.45,56.55,1,6.8,216791,5042,14889,4.180168503,2126.47,3740.93,33.4,17.43,12.43,15.65,15.7,12.37,10.74,7.23,4.98,3.02
41.25,58.75,1,3.3,166360,423,20398,-0.206672572,3558.55,4472.23,41.5,13.71,10.9,11.82,12.53,14.3,13.13,11.17,7.59,4.42
37.42,62.58,1,1.2,63350,176,21234,1.050262566,4909.23,4972.38,48.1,11.12,10.67,9.31,9.27,14.68,15.32,14.88,9.86,4.95
47.84,52.16,1,2.5,76130,132,19309,1.860785665,2889.79,4216.47,50,10.43,10.77,8.69,8.87,13.27,15.3,15.15,11.07,6.95
60.36,39.64,2,4.6,541263,4666,13184,2.146844139,1725.59,3778.2,30,14.95,13.35,23.79,15.82,11.18,8.96,6.09,3.66,2.16
29.14,70.86,1,2.5,107435,1395,16394,1.25930166,2326.99,3872.11,42,13.44,10.31,12.86,12.53,13.67,14.15,11.44,7.71,4.26
35.92,64.08,1,3.3,278542,1436,17884,1.913580247,2832.61,4344.05,37.7,14.49,12.03,14.07,12.95,13.67,12.72,9.98,6.22,3.25
41.89,58.11,1,2.3,50878,106,18089,-0.539374326,2908.92,4442,46.1,12.21,10.74,9.98,10.41,14.78,15.23,13.38,8.58,4.81
51.07,48.93,2,3.4,112545,152,19285,1.112140871,2638.94,3918.43,46,12.2,11.84,9.87,10.09,14.18,14.7,13.39,8.83,5.37
62.94,37.06,2,9.4,205029,5396,27213,2.384419367,5994.27,5613.84,36.3,15.64,9.76,14.41,19.47,14.55,11.3,7.76,4.87,3.02
46.66,53.34,1,2.2,79789,87,18674,0.878972279,2243.42,3822.58,46.1,12.6,11.16,9.35,10.4,13.78,14.4,13.73,9.27,5.38
44.77,55.23,1,1.8,100014,115,18850,2.371967655,2979.58,4269.4,47.1,11.61,10.75,9.75,10.45,14.2,14.63,14.4,9.52,5.34
53.09,46.91,2,4.3,147089,440,22839,0.777511962,4323.91,4901.79,43.4,13.61,11.09,9.48,12.62,15.17,13.66,11.56,7.8,5.26
34.52,65.48,1,1.7,140398,2600,14968,-0.615238997,2101.17,3504.32,36.4,14.93,12.6,15.8,11.66,11.94,12.88,9.95,6.4,3.74
48.59,51.41,1,4.7,264479,856,20039,4.525862069,3697.84,4930.45,37,16.92,11.38,12.21,16.36,14.54,12.12,9.37,5.04,2.68
53.08,46.92,2,4.8,86223,334,27469,-0.498132005,5787.32,5462.58,46.5,12.32,11.24,8.89,10.71,15.05,15.1,12.48,9.19,6.18
42.24,57.76,1,2,179236,238,23355,0.599808061,4245.8,4865.09,49.7,10.9,9.98,9.05,9.16,12.96,14.54,14.74,11.05,7.75
